patient_id,mrn,name,ssn,dob,gender,phone,email,address,city,state,zip_code,insurance_provider,policy_number,diagnosis_code,diagnosis_description,admission_date,discharge_date,attending_physician,department,room_number,treatment_cost,prescription_count
PAT-70011,MRN-100244,Nancy Harris,123-45-7890,1970-10-14,F,+1-555-2011,nancy.h@mail.com,852 Surgery Ave,Seattle,WA,98102,BlueCross,BC-147258,I21.9,Myocardial infarction,2024-01-20,2024-01-28,Dr. Karen White,Cardiology,201,34567.89,15
PAT-70012,MRN-100245,Daniel Clark,234-56-8901,1987-01-21,M,+1-555-2012,daniel.c@provider.net,963 Emergency Rd,Portland,OR,INVALID,Aetna,AE-258369,N18.9,Chronic kidney disease,2024-01-21,2024-01-30,Dr. Steven Harris,Nephrology,508,18901.23,11
PAT-70013,MRN-100246,Karen Lewis,345-67-9012,1965-07-09,F,+1-555-2013,karen.l@email.com,159 Outpatient Dr,San Diego,CA,92101,Kaiser,KP-369147,G43.9,Migraine,2024-01-22,2024-01-23,Dr. Betty Clark,Neurology,103,890.45,2
PAT-70014,MRN-100247,Steven Walker,456-78-0123,1993-03-26,M,+1-555-2014,steven.w@mail.com,357 ICU Ln,Houston,TX,77001,UnitedHealth,UH-741852,A41.9,Sepsis,2024-01-23,2024-02-01,Dr. Paul Lewis,Critical Care,801,45678.90,20
PAT-70015,MRN-100248,Betty Hall,567-89-1234,1978-11-03,F,+1-555-2015,betty.h@provider.net,486 Pediatric Ct,Atlanta,GA,30301,Cigna,CG-852963,J45.9,Asthma,2024-01-24,2024-01-26,Dr. Sandra Walker,Pulmonology,306,2345.67,4
PAT-70016,MRN-100249,Paul Allen,678-90-2345,1960-05-18,M,+1-555-2016,paul.a@email.com,597 Geriatric Way,Dallas,TX,75201,BlueCross,BC-963741,G30.9,Alzheimer's disease,2024-01-25,2024-02-05,Dr. Mark Hall,Neurology,605,28901.34,18
PAT-70017,MRN-100250,Sandra Young,789-01-3456,1991-09-07,F,+1-555-2017,sandra.y@mail.com,618 Maternity Blvd,Philadelphia,PA,19101,Aetna,AE-147852,O34.2,C-section,2024-01-26,2024-01-29,Dr. Donna Allen,Obstetrics,501,9876.54,5
PAT-70018,MRN-100251,Mark King,890-12-4567,1973-12-15,M,+1-555-2018,mark.k@provider.net,729 Radiology Pl,San Antonio,TX,78201,Kaiser,KP-258963,C61,Prostate cancer,2024-01-27,2024-02-08,Dr. Laura Scott,Oncology,603,38901.23,16
PAT-70019,MRN-100252,Donna Wright,901-23-5678,1986-04-22,F,+1-555-2019,donna.w@email.com,831 Pharmacy St,San Jose,CA,95101,UnitedHealth,UH-369852,H26.9,Cataract,2024-01-28,2024-01-29,Dr. Kevin Green,Ophthalmology,102,3456.78,1
PAT-70020,MRN-100253,Kevin Lopez,012-34-6789,1969-08-11,M,+1-555-2020,kevin.l@mail.com,942 Dialysis Ave,Columbus,OH,43201,Cigna,CG-741963,N18.6,End stage renal disease,2024-01-29,2024-02-10,Dr. Michelle Adams,Nephrology,507,56789.01,22
