batch,account_number,customer_id,contract,call_plan,BT_Basic,TV,Mobile,Sport,Carmen_Discount,Line_excluding_CP_offer,Line_rental_plus,CNF,Voicemail,Smart_Direct,NCC,Call_Barring,Permanent_Withhold_Number,Admin_CNF,Debt_CNF,Standard_Care,Prompt_Care,Total_Care,Prompt_Care_LRP,Total_Care_Priority,Priority_Fault_Repair,CSDP_Priority_Fault_Repair,Age_and_Disability_Call_Return,Special_Services_Marker,FF_Bundle_Free,FF_AddOn_Priced,FF_Mobile_Free,Freedom_Bundle_Free,Freedom_AddOn_Free,birth_dt,title,first_name,last_name,age_band,Email,primary_contact_number,RoBT_NAD_Key,postcode,bill_amount,payment_method,bill_type,bill_frequency,next_bill_date,bill_format,directory_entry,poa,split_service_flg,telecare_flg,voice_usage,eligibility_flg,cps_flg,uxd5_exchange_flg,openreach_nad_key,ExchangeName,ExchangeCode,serviceid,serviceid_length,enabled,hot_site,open_fault,open_order,pstn_count,v_cat,disability,longlines,dacs_btc,reason_to_exclude
,LN27002631,XXXXXXXXXXXX,OutContract,Unlimited_Minutes_3,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,Miss,Robert,Rodriguez,,robert.rodriguez@company.com,0117 920 1139,R00024695412,N96 3XG,XXXXXXXXXXXX,Customer Initiated,Paper Bill,3M,06/12/2025,Blue Bill,XDNC,,N,N,MED USAGE,FTTC,N,N,A13104349886,Tottenham,LNTOT,0117 920 1139,11,,,,,1,,XXXXXXXXXXXX,,0,
,LC20011729,XXXXXXXXXXXX,OutContract,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,Miss,Emma,Nguyen,,emmanguyen@work.co.uk,020 8980 7565,R00011389970,BS95 7BE,XXXXXXXXXXXX,Customer Initiated,Paper Bill,3M,17/11/2025,Blue Bill,O,,N,N,LOW USAGE,FTTC,N,N,A00010560503,Blackburn,LCBLK,020 8980 7565,11,Y,,,,1,,XXXXXXXXXXXX,5,0,
Available,NS18255244,XXXXXXXXXXXX,OutContract,UAC,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,1934-11-25T00:00:00,Miss,George,Taylor,90-94,gtaylor@gmail.com,020 7338 9691,R00000982175,NW3C 7WR,XXXXXXXXXXXX,Direct Debit,Paper Free,1M,01/12/2025,Blue Bill,XDNC,,N,N,MED USAGE,FTTC ULTRA_FTTP FTTP,N,N,A00000894000,Banff,NSBNF,020 7338 9691,11,Y,,,,1,,XXXXXXXXXXXX,A,0,
SEP_3,TH10679806,XXXXXXXXXXXX,OutContract,UWP,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,1964-09-24T00:00:00,Prof,Ruth,Mitchell,18-74,ruth.mitchell@company.com,07974 359225,R00001352281,W8E 4BD,XXXXXXXXXXXX,Direct Debit,Paper Bill,3M,03/02/2026,Blue Bill,O,,N,N,NO USAGE,FTTC,N,N,A00001233387,Newbury,THNU,07974 359225,10,Y,,,,1,,XXXXXXXXXXXX,A,0,
,SS76822686,XXXXXXXXXXXX,OutContract,Unlimited_Minutes,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,1932-10-16T00:00:00,Mrs,Carolyn,Williams,90-94,cwilliams@mail.com,0121 794 8349,R00000562083,OX64 3EL,XXXXXXXXXXXX,Direct Debit,Paper Bill,3M,19/01/2026,Blue Bill,O,,N,Y,HIGH USAGE,FTTC,N,N,A00000496261,Downend,SSDOW,0121 794 8349,11,,,,,1,,XXXXXXXXXXXX,A,0,
,LN23552198,XXXXXXXXXXXX,OutContract,Unlimited_Minutes_1,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,Miss,Diane,Hill,,diane.h@email.com,01622 842458,R00007352625,S17 6UR,XXXXXXXXXXXX,Customer Initiated,Dual,3M,20/12/2025,Blue Bill,XDNC,,Y,N,HIGH USAGE,FTTC ULTRA_FTTP FTTP,N,N,A00006822255,Loughton,LNLOU,01622 842458,11,,,,,2,,XXXXXXXXXXXX,,0,
Available,EM13623699,XXXXXXXXXXXX,OutContract,,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,Mr,Julie,Evans,,julieevans@outlook.com,0161 607 1587,R00016585437,B7V 6JP,XXXXXXXXXXXX,Customer Initiated,Paper Bill,3M,17/11/2025,Blue Bill,XDNC,,N,N,LOW USAGE,FTTC,N,N,A00015386233,Kirkby In Ashfield,EMKIRKB,0161 607 1587,11,Y,,,,1,,XXXXXXXXXXXX,,0,
Available,WN80614635,XXXXXXXXXXXX,OutContract,HPS_2020,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,1947-03-05T00:00:00,Ms,Virginia,Wilson,75-79,virginia.w@email.com,0113 824 5347,R00002358959,LS6Q 9LU,XXXXXXXXXXXX,Direct Debit,Dual,3M,07/01/2026,Blue Bill,O,,N,N,HIGH USAGE,,N,N,A00002149061,Kinnerton,WNKT,0113 824 5347,11,Y,,,,1,,XXXXXXXXXXXX,,0,
,WS60965526,XXXXXXXXXXXX,OutContract,UEWP,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,Ms,Matthew,Mitchell,,mmitchell@outlook.com,01929 709370,R00006052568,BN9D 1DZ,XXXXXXXXXXXX,Direct Debit,Paper Bill,3M,17/12/2025,Blue Bill,O,,Y,N,MED USAGE,FTTC,N,N,A00005601464,Thornhill; Dumfries & Galloway,WSTHL,01929 709370,11,Y,,,,1,,XXXXXXXXXXXX,A,0,
,SW11217807,XXXXXXXXXXXX,OutContract,HPS_2020,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,Miss,Timothy,Adams,,timothyadams@work.co.uk,0113 213 1059,R00017865842,CB26 8XL,XXXXXXXXXXXX,Customer Initiated,Paper Bill,3M,17/01/2026,Blue Bill,XDNC,,Y,N,LOW USAGE,FTTC ULTRA_FTTP FTTP,N,N,A00016571433,Whitchurch; South Glamorgan,SWWXC,0113 213 1059,11,Y,,,,1,,XXXXXXXXXXXX,,0,
Available,EA30136637,XXXXXXXXXXXX,OutContract,,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,Captain,Diane,Clark,,diane.c@company.com,0121 778 5423,R00019549201,BS9R 9NG,XXXXXXXXXXXX,Direct Debit,Paper Bill,3M,25/11/2025,Blue Bill,O,,N,N,MED USAGE,FTTC FTTP,N,N,A00018136987,Leiston,EALTN,0121 778 5423,11,Y,,,,1,,XXXXXXXXXXXX,,0,
,LW58556429,XXXXXXXXXXXX,OutContract,PAYG,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,Dr,Steven,Moore,,steven.m@work.co.uk,0161 746 4869,R00014605835,BN51 5BD,XXXXXXXXXXXX,Customer Initiated,Paper Free,3M,10/02/2026,Blue Bill,XDNC,,N,N,NO USAGE,FTTC ULTRA_FTTP FTTP,N,N,A00013542557,South Harrow,LWSHAR,0161 746 4869,11,,,,,2,,XXXXXXXXXXXX,,0,
NOV_4,SM45139653,XXXXXXXXXXXX,OutContract,UWP,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,1952-10-03T00:00:00,Mrs,Melissa,Collins,18-74,mcollins@outlook.com,0121 622 2869,R00001197812,WC39 0GF,XXXXXXXXXXXX,Direct Debit,Paper Bill,1M,07/12/2025,Blue Bill,O,,N,N,MED USAGE,FTTC ULTRA_FTTP FTTP,N,N,A00001094695,Dunstable,SMDB,0121 622 2869,11,Y,,,,1,,XXXXXXXXXXXX,A,0,
Available,SD40040029,XXXXXXXXXXXX,OutContract,HPS_2018,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,1969-05-03T00:00:00,Dr,Brian,Robinson,18-74,brobinson@outlook.com,07960 856455,R00006424466,CB5X 2RA,XXXXXXXXXXXX,Customer Initiated,Dual,3M,19/11/2025,Blue Bill,XDNC,,N,N,HIGH USAGE,FTTC ULTRA_FTTP FTTP,N,N,A00005949130,Eastbourne Pevensey,SDPVNSY,07960 856455,11,Y,,,,1,,XXXXXXXXXXXX,,0,
Available,SW10848754,XXXXXXXXXXXX,OutContract,Unlimited_Minutes_2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,Mr,Robert,,,robert@hotmail.com,020 8344 9597,R00008009261,NW2X 6LR,XXXXXXXXXXXX,Monthly Payment Plan,Paper Bill,3M,19/11/2025,Blue Bill,XDNC,,N,N,MED USAGE,FTTC ULTRA_FTTP FTTP,N,N,A00007434929,Abergavenny,SWAG,020 8344 9597,11,Y,,,,1,,XXXXXXXXXXXX,,0,
Available,ES80218616,XXXXXXXXXXXX,OutContract,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,Miss,Anna,Evans,,anna.evans@outlook.com,0117 922 5719,R00000255010,OX63 4DD,XXXXXXXXXXXX,Direct Debit,Paper Bill,3M,13/02/2026,Blue Bill,O,,N,N,MED USAGE,FTTC GFAST_200,N,N,A00000212728,Dundee Lochee,ESLOC,0117 922 5719,11,Y,,,,1,,XXXXXXXXXXXX,,0,
Available,LC20477506,XXXXXXXXXXXX,OutContract,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,Dr,Diane,Collins,,dcollins@work.co.uk,0113 923 9761,R00004682168,RG96 5LH,XXXXXXXXXXXX,Direct Debit,Paper Bill,1M,06/12/2025,Blue Bill,O,,N,N,MED USAGE,FTTC ULTRA_FTTP FTTP,N,N,A00004318228,Carlisle,LCCAR,0113 923 9761,11,Y,,,,1,,XXXXXXXXXXXX,,0,
,SS77192597,XXXXXXXXXXXX,OutContract,UWP,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,1949-01-21T00:00:00,,Thomas,Moore,75-79,thomas.m@hotmail.com,020 8221 4869,R00008050640,S56 2QY,XXXXXXXXXXXX,Customer Initiated,Paper Bill,3M,21/01/2026,Blue Bill,XDNC,,N,N,MED USAGE,FTTC,N,N,A00007473262,Wotton-Under-Edge,SSWUE,020 8221 4869,11,,,,,1,,XXXXXXXXXXXX,,0,
Available,WM33132546,XXXXXXXXXXXX,OutContract,PAYG,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,Mrs,Frances7,White,,frances7.white@company.com,0113 268 7235,R00024051144,L95 1WL,XXXXXXXXXXXX,Direct Debit,Paper Bill,3M,16/01/2026,Blue Bill,O,,N,Y,LOW USAGE,FTTC ULTRA_FTTP FTTP,N,N,A00022291656,Leigh Sinton,WMLEI,0113 268 7235,11,Y,,,,1,,XXXXXXXXXXXX,,0,
Available,EA31646109,XXXXXXXXXXXX,OutContract,700Mins,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,Mrs,Robert,Lewis,,rlewis@company.com,0161 712 9147,R02061801833,EC5H 3WQ,XXXXXXXXXXXX,Direct Debit,Paper Free,1M,15/11/2025,Blue Bill,O,,N,N,HIGH USAGE,FTTC ULTRA_FTTP FTTP,N,N,A00001870523,Soham,EASOH,0161 712 9147,11,Y,,,,1,,XXXXXXXXXXXX,A,0,
Available,EA30605934,XXXXXXXXXXXX,OutContract,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,1936-05-06T00:00:00,Mrs,Daniel,White,85-89,daniel.w@email.com,07822 451061,R00006836994,N6C 4HZ,XXXXXXXXXXXX,Direct Debit,Paper Bill,1M,05/12/2025,Blue Bill,O,,N,Y,MED USAGE,FTTC,N,N,A00006337056,Hatfield Peverel,EAHAT,07822 451061,11,Y,,,,1,,XXXXXXXXXXXX,,0,
,SL41912554,XXXXXXXXXXXX,OutContract,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,Mr,Emma,Jones,,ejones@work.co.uk,0117 962 6433,R00018302777,CB8T 1YL,XXXXXXXXXXXX,Customer Initiated,Paper Bill,3M,17/11/2025,Blue Bill,O,,N,N,HIGH USAGE,FTTC,N,N,A00016974451,Silkstone,SLSKT,0117 962 6433,11,Y,,,,1,,XXXXXXXXXXXX,,1,DACS
Available,SS76018572,XXXXXXXXXXXX,OutContract,Unlimited_Minutes,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,Dr,Andrew,Young,,andrew.young@work.co.uk,020 7867 5730,R00000636194,NE21 5PD,XXXXXXXXXXXX,Direct Debit,Paper Bill,3M,17/12/2025,Large Print,XDNC,,N,N,HIGH USAGE,FTTC,N,N,A00000567065,Compton Dando,SSCDO,020 7867 5730,11,Y,,,,1,,XXXXXXXXXXXX,A,0,
DEC_BMS_2,MR70659497,XXXXXXXXXXXX,OutContract,HPS_2020,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,1926-12-03T00:00:00,Prof,Sophie,Martinez,95-99,sophiemartinez@hotmail.com,01464 684908,R03384948610,NE9V 2BP,XXXXXXXXXXXX,Direct Debit,Paper Bill,3M,06/01/2026,Blue Bill,O,,N,Y,MED USAGE,FTTC FTTP,N,N,A00002423576,Heaton Moor,MRHEA,01464 684908,11,Y,,,,1,,XXXXXXXXXXXX,A,0,
,EM10098458,XXXXXXXXXXXX,OutContract,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,1954-08-15T00:00:00,Dr,Janet,Taylor,18-74,janet.taylor@outlook.com,0113 947 1456,R00016134983,M26 7ZA,XXXXXXXXXXXX,Customer Initiated,Paper Bill,3M,04/12/2025,Blue Bill,O,,N,N,MED USAGE,FTTC ULTRA_FTTP FTTP,N,N,A00014968007,Kettering,EMKTTER,0113 947 1456,11,,,,,1,,XXXXXXXXXXXX,A,0,
Available,SW10725323,XXXXXXXXXXXX,OutContract,Unlimited_Minutes_4,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,Prof,Rachel,Scott,,rscott@hotmail.com,0113 417 7388,R00006182624,RG3J 9UF,XXXXXXXXXXXX,Direct Debit,Paper Free,3M,28/11/2025,Blue Bill,XDNC,,N,N,MED USAGE,ULTRA_FTTP FTTP,N,N,A00005722547,Carew,SWZIU,0113 417 7388,11,Y,,,,1,,XXXXXXXXXXXX,,0,
Available,LN23605859,XXXXXXXXXXXX,OutContract,,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,Dr,Heather,Martinez,,heathermartinez@mail.com,0117 935 4072,R00014369376,OX70 7WN,XXXXXXXXXXXX,Monthly Payment Plan,Paper Bill,3M,27/12/2025,Blue Bill,XDNC,,N,N,LOW USAGE,FTTC,N,N,A00013324589,Enfield,LNENF,0117 935 4072,11,Y,,,,1,,XXXXXXXXXXXX,,0,
Available,EM14425022,XXXXXXXXXXXX,OutContract,Unlimited_Minutes,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,1933-04-07T00:00:00,Mr,George,Rivera,90-94,george.rivera@company.com,0113 944 4597,R00002236960,L2R 8RE,XXXXXXXXXXXX,Customer Initiated,Paper Bill,3M,17/01/2026,Blue Bill,O,,N,N,HIGH USAGE,FTTC,N,N,A00002035340,Benefield,EMBENEF,0113 944 4597,11,Y,,,,1,,XXXXXXXXXXXX,A,0,
Available,214812703,XXXXXXXXXXXX,OutContract,HPS_2020,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,1947-11-23T00:00:00,Mr,Anna,Green,75-79,agreen@gmail.com,0121 888 3498,X05006330300,N91 6BN,XXXXXXXXXXXX,Direct Debit,Dual,1M,03/12/2025,Blue Bill,XDNC,,N,N,LOW USAGE,FTTC ULTRA_FTTP FTTP,N,N,A00011826741,Wigan,LCWIG,0121 888 3498,11,Y,,,,1,,XXXXXXXXXXXX,,0,
,LN24077873,XXXXXXXXXXXX,OutContract,UAC,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,1942-07-09T00:00:00,Ms,Julie,Edwards,80-84,julieedwards@outlook.com,0117 927 3651,R00092563539,WC9S 1AQ,XXXXXXXXXXXX,Direct Debit,Paper Bill,1M,15/11/2025,Blue Bill,XDNC,,N,N,LOW USAGE,FTTC,N,N,A00029533284,Stamford Hill,LNSTA,0117 927 3651,11,,,,,1,,XXXXXXXXXXXX,A,0,
NOV_3,WN81416363,XXXXXXXXXXXX,OutContract,UWP,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,Miss,Julie,Miller,,julie.miller@yahoo.com,07887 835294,R00002335814,NE4S 5QJ,XXXXXXXXXXXX,Customer Initiated,Paper Bill,3M,22/12/2025,Blue Bill,XDNC,,N,N,MED USAGE,FTTC ULTRA_FTTP FTTP,N,N,A00002127111,Tarvin,WNTV,07887 835294,11,Y,,,,1,,XXXXXXXXXXXX,,0,
